title,author,price,stock,pages,binding,category,subcategory
EJERCICIOS DE DIBUJO TECNICO PIEZAS AISLADAS Y CONJUNTOS,"GARCIA RICART, JOSE MANUEL","12,16 €",Sin Stock,130,,Arte y Manualidades,Dibujo tecnico
FUNDAMENTOS DE EXPRESION GRAFICA ORIENTADA A LA REPRESENTACION DE PIE,"ALEN CORDERO, CRISTINA","11,39 €",Sin Stock,152,,Arte y Manualidades,Dibujo tecnico
GEOMETRIA PLANA. ACOTADO-DIEDRICO II,"GUTIERREZ GUTIERREZ, CANDIDO","85,50 €",Sin Stock,330,,Arte y Manualidades,Dibujo tecnico
SISTEMA DIEDRICO,"JIMENEZ, ISABEL","23,75 €",,174,,Arte y Manualidades,Dibujo tecnico
GEOMETRIA DESCRIPTIVA. SISTEMA DIEDRICO,"FERNANDEZ SORA, ALBERTO","11,42 €",,171,,Arte y Manualidades,Dibujo tecnico
DIBUJO INDUSTRIAL. CONJUNTOS Y DESPIECES,"AURIA APILLUELO, JOSE M.","21,28 €",,288,,Arte y Manualidades,Dibujo tecnico
TRAZADO DE DIBUJO CON AUTOCAD 2005,"FERRER MUÑOZ, JOSE LUIS","34,77 €",,624,,Arte y Manualidades,Dibujo tecnico
APUNTES DE NORMALIZACION,"GARCIA RICART, JOSE MANUEL","26,22 €",Sin Stock,286,,Arte y Manualidades,Dibujo tecnico
IDIOTIZADAS (ED.CARTONE),MODERNA DE PUEBLO,"17,05 €",Última unidad,208,,Cómics y Novela Gráfica,Humor
COÑO DRAMAS (ED.CARTONE),MODERNA DE PUEBLO,"18,00 €",En stock,312,,Cómics y Novela Gráfica,Humor
HERALDO DE ARAGON.  125 AÑOS DE FOTOGRAFIA ( 1895 - 2020 ),HERALDO DE ARAGON,"18,95 €",Última unidad,216,,Aragón,Aragon
GUÍA PARA IDENTIFICAR LAS ESCENAS Y LOS PERSONAJES DE LA BIBLIA,"DE LA PLAZA ESCUDERO, LORENZO; OLMEDO MOLINO, ANTONIO; MORALES GÓMEZ, ADORACIÓN; JOSÉ MARÍA MARTÍNEZ MURIL","15,15 €",Última unidad,424,,Arte y Manualidades,Arte
FRIDA KAHLO OBRA PICTORICA COMPLETA,,"142,50 €",Última unidad,,,Arte y Manualidades,Arte
ASTERIX O GALO ( EN FABLA ),,"12,30 €",En stock,,,Aragón,Aragon
EL ESPEJO DEL TIEMPO. LA HISTORIA Y EL ARTE DE ESPAÑA,"FUSI, JUAN PABLO","33,16 €",Última unidad,568,,Arte y Manualidades,Arte
UN VIAJE EN EL TIEMPO LOS 60 LETTERING,"ENRIQUE RUBIO POLO, SLU","8,46 €",En stock,,,Arte y Manualidades,Manualidades
ADOLF (EDICIÓN TANKOBON) Nº 01/05.,"TEZUKA, OSAMU","8,50 €",Última unidad,256,,Cómics y Novela Gráfica,Comics
DIBUJO Y PROYECTO 2º ED. 2012,"JUROSZEK, STEVEN","33,25 €",,408,,Arte y Manualidades,Dibujo tecnico
DRAGON BALL SUPER BROLY ANIME COMIC.,"TORIYAMA, AKIRA","14,21 €",Última unidad,360,,Cómics y Novela Gráfica,Comics
ONE PIECE Nº 92.. Y LA CORTESANA KOMURASAKI ENTRA EN ESCENA,"ODA, EIICHIRO","7,55 €",Última unidad,192,,Cómics y Novela Gráfica,Comics
ORIGAMI (COL. HOBBIES),VARIOS AUTORES,"12,30 €",,144,Bolsillo,Arte y Manualidades,Manualidades
UN VIAJE EN EL TIEMPO LOS 70 LETTERING,"ENRIQUE RUBIO POLO, SLU","8,46 €",En stock,,,Arte y Manualidades,Manualidades
CALIGRAFIA CREATIVA,VARIOS AUTORES,"12,26 €",Última unidad,150,,Arte y Manualidades,Manualidades
MIS PRIMEROS APRENDIZAJES +5,YOYO,"5,65 €",Última unidad,96,Bolsillo,Arte y Manualidades,Manualidades infantiles
MIS PRIMEROS APRENDIZAJES +4,YOYO,"5,65 €",Última unidad,96,Bolsillo,Arte y Manualidades,Manualidades infantiles
CUADERNILLOS RUBIO PREESCOLAR N.1,VARIOS AUTORES,"1,19 €",Última unidad,,,Arte y Manualidades,Manualidades infantiles
"EL CUERPO HUMANO. VIAJA, CONOCE, EXPLORA. + PUZZLE 200 PIEZAS",M. GAULE,"21,80 €",Última unidad,,,Arte y Manualidades,Manualidades infantiles
LA DESPENSA SALUDABLE.,JIMÉNEZ MARIA DEL MAR,"19,00 €",Última unidad,208,,Cocina,Cocina
COCINA LATERAL,"SEGNIT, NIKI","33,16 €",Última unidad,624,,Cocina,Cocina
VEGGIE. RECETAS VEGETARIANAS FACILES Y DELICIOSAS,"OLIVER, JAMIE","28,41 €",Última unidad,312,,Cocina,Cocina
